category,service_name,price
1,Web Designers,25.0
1,Content Writers,25.0
1,Software Developers,25.0
1,Civil Engineers,25.0
1,Draftman,25.0
1,Data Entry ,25.0
1,Mobile App Developers,25.0
1,Web Developers,25.0
1,Social Media Activities,25.0
1,SEO Experts,25.0
1,Architectors,25.0
1,Auditors,15.0
1,Accountants,15.0
1,Logo Designers,15.0
1,Mobile Technician,15.0
1,Laptop Technicians,15.0
1,CCTV Technicians,15.0
1,Share Market Experts,15.0
1,Translators,15.0
1,Finanacial Experts,15.0
1,Legal Experts,25.0
1,Logistic Experts,15.0
1,3D Graphic Designers,15.0
2,Women's Salon,10.0
2,Women's Spa,10.0
2,Furniture Cleaning,10.0
2,Men's Salon,10.0
2,HomePest Control Service,10.0
2,Men's Spa,10.0
2,Men's Grooming,10.0
2,Hair Salon,10.0
2,Personal Trainer,10.0
2,Nail Couture,10.0
2,Physiotherapy at Home,10.0
2,Body Adjustment,10.0
2,Personal Nutritionist,10.0
2,Spray Tanning,10.0
2,Henna Service,10.0
2,Housekeeping Services,10.0
2,Waxing Service,10.0
2,Facial Treatment Service,10.0
2,Eyebrow Threading,10.0
2,Flu Vaccine,10.0
2,Oxygen Therapy,10.0
3,Packers and Movers,10.0
4,Doctor on Call,10.0
5,Carpet Cleaning,10.0
5,Mattress Cleaning,10.0
5,Sofa Cleaning,10.0
5,Curtain Cleaning,10.0
5,Deep Cleaning,10.0
5,Move In & Out Cleaning Services,10.0
5,House Cleaning,10.0
5,Laundry & Dry Cleaning,10.0
5,AC Cleaning Service,10.0
5,Disinfection Service,10.0
5,LAB Test at Home,10.0
5,Babysitting At Home,10.0
5,Handyman Services,10.0
5,Part Time Maid Services,10.0
5,Psychotherapy & Counselling,10.0
5,Nurse Care at Home,10.0
5,Lashes and Brows at Home,10.0
5,Vaccines at Home,10.0
6,Plumber Services,10.0
6,Electrician Services,10.0
6,Home Painting,10.0
6,Commercial Cleaning,10.0
6,office Cleaning,10.0
6,Villa Cleaning,10.0
6,Floor Cleaning,10.0
6,Apartment Cleaning,10.0
7,Pet Grooming Therapy,10.0
7,Cat Grooming,10.0
8,Car Wash At Home,10.0
8,Car Wash At Home,10.0
8,Car Wash At Home,10.0
8,Car Wash At Home,10.0
